player_id - player_name
1 - Paige Bueckers
2 - Rickea Jackson
3 - Dominique Malonga
4 - Aari McDonald
5 - Kate Martin
6 - Cameron Brink
7 - Kelsey Mitchell
8 - Sonia Citron
9 - Ezi Magbegor
10 - Natisha Hiedeman
11 - Saniya Rivers
12 - Monique Billings
13 - Chelsea Gray
14 - Kahleah Copper
15 - Azura Stevens
16 - Lexie Hull
17 - Shakira Austin
18 - Sug Sutton
19 - Napheesa Collier
20 - Skylar Diggins
21 - Marina Mabrey
22 - Aaliyah Edwards
23 - Rachel Banham
24 - Rebecca Allen
25 - Courtney Williams
26 - Rhyne Howard
27 - Dearica Hamby
28 - Erica Wheeler
29 - Rae Burrell
30 - Brittney Griner
31 - Jackie Young
32 - Brittney Sykes
33 - Alyssa Thomas
34 - Jordin Canada
35 - Maddy Siegrist
36 - Naz Hillmon
37 - Kelsey Plum
38 - Satou Sabally
39 - Aliyah Boston
40 - Dana Evans
41 - Natasha Cloud
42 - Kiki Iriafen
43 - Breanna Stewart
44 - Allisha Gray
45 - Alanna Smith
46 - Veronica Burton
47 - Arike Ogunbowale
48 - Li Yueru
